dataset,variation,n_samples,fork,heuristics,seed,graph_n_neighbors,graph_metric,graph_mutual,graph_knn_method,aco_n_ants,aco_n_iterations,aco_path_length,aco_beta,aco_alpha,aco_evaporation_rate,aco_evaporation_schedule,aco_pheromone_deposit,aco_initial_pheromone,aco_tau_min,aco_tau_max,threshold_method,cutoff_value,cutoff_percentile,Clusters,NoisePct,ARI_all,ARI_assigned,Purity,Homogeneity,Completeness,V-Measure,SizeMin,SizeMax,SizeMean,SizeMedian,MaxGap,GapPos,GiantShare,seconds,aco_use_node_density,aco_node_density_gamma,aco_use_elite_ants,aco_elite_ratio,aco_elite_multiplier,aco_elite_start_iteration
simple_blobs,s42_std0.6,10000,euclidean,elite,100,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,76.5430522754835,6,0.0,0.7297456251890502,0.7297456251890502,0.717,0.7974311132512731,0.9914445244388287,0.8839169075733104,27,2857,1666.6666666666667,1429.0,52.888888888888886,4,0.2857,0.14672933300607838,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,elite,1000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,76.64836918363439,7,0.0,0.7276840699060335,0.7276840699060335,0.7166,0.7972516664644874,0.9860878889233671,0.8816719287691934,20,2857,1428.5714285714287,1428.0,64.04545454545455,4,0.2857,0.14630583400139585,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,elite,10000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,76.58773217591116,6,0.0,0.7275740835015088,0.7275740835015088,0.725,0.8001587207275604,0.9755035806047704,0.8791735867075544,109,2857,1666.6666666666667,1429.0,13.100917431192661,4,0.2857,0.14646862499648705,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,both,1,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.86908789174699,11,0.0,0.8333520018828932,0.8333520018828932,0.8566,0.8961076914128078,0.9590934871080745,0.9265313762539766,17,2857,909.0909090909091,1365.0,35.921052631578945,5,0.2857,0.15991074999328703,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,both,10,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.98557477500478,10,0.0,0.7203433440281627,0.7203433440281627,0.7322,0.8038494331547434,0.9394544389474546,0.8663778361393415,25,2757,1000.0,747.0,13.94,4,0.2757,0.16031524998834357,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,both,100,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.88983213123124,11,0.0,0.8276263514262051,0.8276263514262051,0.8656,0.8972274422760346,0.9358001439365293,0.9161079472465196,24,2754,909.0909090909091,1281.0,12.317307692307692,5,0.2754,0.159674916008953,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,both,1000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,78.12918874066509,10,0.0,0.7111775987232616,0.7111775987232616,0.7254,0.8039801589714832,0.9249477075741759,0.8602320771907764,27,2857,1000.0,743.0,12.387387387387387,4,0.2857,0.16139475000090897,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,euclidean,both,10000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,78.21854854152039,10,0.0,0.7266984949178369,0.7266984949178369,0.7208,0.8004546777402134,0.9643751961085643,0.8748023231704212,19,2810,1000.0,727.0,54.92307692307692,4,0.281,0.15994491599849425,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,none,1,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.45655,72.76942637050333,32,0.0,0.42067106849864944,0.42067106849864944,0.9192,0.9063581331957066,0.5662514285131512,0.6970300900002565,38,1058,312.5,213.0,1.641025641025641,29,0.1058,0.14486883400240913,,,,,,
simple_blobs,s42_std0.6,10000,cosine,none,10,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.45655,72.61685737790741,32,0.0,0.43383339073374133,0.43383339073374133,0.9417,0.9307278070075167,0.5731736207329549,0.709446267181019,21,973,312.5,261.5,1.9393939393939394,24,0.0973,0.14426629099762067,,,,,,
simple_blobs,s42_std0.6,10000,cosine,none,100,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.45655,72.62732779896791,19,0.0,0.5014183372442302,0.5014183372442302,0.881,0.8851778161608495,0.641393608800871,0.743820282044278,115,1993,526.3157894736842,445.0,1.898095238095238,0,0.1993,0.14478191701346077,,,,,,
simple_blobs,s42_std0.6,10000,cosine,none,1000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.45655,72.64677286665172,19,0.0,0.6000835121295371,0.6000835121295371,0.9117,0.9148121077168871,0.6545182122153448,0.7630785917418131,42,1386,526.3157894736842,449.0,2.3333333333333335,17,0.1386,0.1445904170104768,,,,,,
simple_blobs,s42_std0.6,10000,cosine,none,10000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.45655,72.73203200957296,22,0.0,0.4677262820199401,0.4677262820199401,0.9335,0.9202326210008881,0.5983385204579836,0.7251693514969331,239,863,454.54545454545456,354.5,1.4088888888888889,6,0.0863,0.14484891699976288,,,,,,
simple_blobs,s42_std0.6,10000,cosine,density,1,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,74.31007404083464,101,0.0,0.15134486871754713,0.15134486871754713,0.9461,0.9384429038421233,0.4163975150711918,0.5768432765085013,17,340,99.00990099009901,83.0,1.2105263157894737,97,0.034,0.1580047080060467,true,1.0,,,,
simple_blobs,s42_std0.6,10000,cosine,density,10,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,74.19041208585745,106,0.0,0.1431158771040551,0.1431158771040551,0.9469,0.9392160528029343,0.4127265468439168,0.5734554090018119,17,295,94.33962264150944,74.5,1.2045454545454546,4,0.0295,0.15789800000493415,true,1.0,,,,
simple_blobs,s42_std0.6,10000,cosine,density,100,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,74.00344028120558,96,0.0,0.17990861621016796,0.17990861621016796,0.946,0.9384748649798063,0.42951873107807825,0.5893193276874681,17,411,104.16666666666667,76.0,1.1227272727272728,7,0.0411,0.15843891599797644,true,1.0,,,,
simple_blobs,s42_std0.6,10000,cosine,density,1000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,74.15002617605265,110,0.0,0.15110395415534603,0.15110395415534603,0.9418,0.934486190938313,0.41260698599730933,0.5724556211861656,16,373,90.9090909090909,71.0,1.2203389830508475,11,0.0373,0.15743112500058487,true,1.0,,,,
simple_blobs,s42_std0.6,10000,cosine,density,10000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,74.26071348440655,98,0.0,0.16236285347388432,0.16236285347388432,0.9469,0.939496224793628,0.4231699515070203,0.5835127910289192,16,361,102.04081632653062,71.0,1.221818181818182,1,0.0361,0.15762629098026082,true,1.0,,,,
simple_blobs,s42_std0.6,10000,cosine,elite,1,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.8760002991549,51,0.0,0.2733234646293492,0.2733234646293492,0.942,0.9363172596442999,0.4912385566900765,0.6443953139607932,17,539,196.07843137254903,177.0,1.5245901639344261,41,0.0539,0.14706191699951887,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,elite,10,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.80719467504301,43,0.0,0.34606743873653,0.34606743873653,0.9373,0.9301835915062101,0.5247224824920879,0.6709549874476856,21,779,232.5581395348837,193.0,1.9,38,0.0779,0.14643133300705813,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,elite,100,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.69949891556354,50,0.0,0.3197017513932487,0.3197017513932487,0.9132,0.9058036425844352,0.500112416803873,0.6444248869875605,17,1076,200.0,131.5,1.6891679748822606,0,0.1076,0.14566933299647644,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,elite,1000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.77428763742428,53,0.0,0.32037833345601013,0.32037833345601013,0.9364,0.9314614993862578,0.5007748788289655,0.6513624798027656,18,783,188.67924528301887,133.0,1.3181818181818181,41,0.0783,0.14766083398717456,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,elite,10000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,77.87001720140603,49,0.0,0.2958379008882419,0.2958379008882419,0.9269,0.9219765227637933,0.4986826226091551,0.6472680964373323,17,732,204.08163265306123,158.0,1.55,44,0.0732,0.14745091702206992,,,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,both,1,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.9560500000000003,78.86321142771669,117,0.0,0.14797646135694437,0.14797646135694437,0.9461,0.9396826010448686,0.4081501296792939,0.5691085647812927,16,354,85.47008547008546,63.0,1.231060606060606,2,0.0354,0.1604187920165714,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,both,10,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.85615,78.40550444992896,114,0.0,0.1553441050783548,0.1553441050783548,0.9455,0.9391798405168345,0.4157880138564882,0.5763970256300367,17,534,87.71929824561404,62.5,1.5940298507462687,0,0.0534,0.16071620900765993,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,both,100,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.85615,78.3905467055568,127,0.0,0.13338445857786674,0.13338445857786674,0.9472,0.9382723706319439,0.3980937925592638,0.5590090751571931,17,434,78.74015748031496,64.0,1.4662162162162162,0,0.0434,0.16027612498146482,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,both,1000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.85615,78.49375514172463,127,0.0,0.13218577006966703,0.13218577006966703,0.9477,0.9401387783337303,0.3996560422401839,0.5608801251290577,17,290,78.74015748031496,56.0,1.1859504132231404,1,0.029,0.16058829199755564,true,1.0,true,0.1,2.0,5
simple_blobs,s42_std0.6,10000,cosine,both,10000,15,cosine,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.85615,78.5012340139107,114,0.0,0.15625180386593324,0.15625180386593324,0.9473,0.9392640050423016,0.4135279216550447,0.5742374480882513,16,379,87.71929824561404,64.5,1.1415929203539823,26,0.0379,0.16140962499775924,true,1.0,true,0.1,2.0,5
