sweep,dataset,variation,n_samples,fork,heuristics,seed,graph_n_neighbors,graph_metric,graph_mutual,graph_knn_method,aco_n_ants,aco_n_iterations,aco_path_length,aco_beta,aco_alpha,aco_evaporation_rate,aco_evaporation_schedule,aco_pheromone_deposit,aco_initial_pheromone,aco_tau_min,aco_tau_max,threshold_method,cutoff_value,cutoff_percentile,Clusters,NoisePct,ARI_all,ARI_assigned,Purity,Homogeneity,Completeness,V-Measure,SizeMin,SizeMax,SizeMean,SizeMedian,MaxGap,GapPos,GiantShare,baseline_components,baseline_ARI,seconds,ARI_over_baseline
graph_forks,simple_blobs,s42_std0.6,10000,mutual_step,none,1,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,71.66017744303312,6,0.0,0.8468611377255179,0.8468611377255179,0.8552,0.8928097091598166,0.9939789306321878,0.9406819834006822,1409,2857,1666.6666666666667,1429.0,1.9730662983425415,0,0.2857,5,0.7306729172222295,0.14731558298808523,0.11618822050328836
graph_forks,simple_blobs,s42_std0.6,10000,mutual_step,none,10,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,71.83570562328461,6,0.0,0.849959901911512,0.849959901911512,0.8567,0.896393088712488,0.997953413847437,0.9444508085727867,1426,2857,1666.6666666666667,1429.0,1.9965059399021663,0,0.2857,5,0.7306729172222295,0.14580287502030842,0.11928698468928256
graph_forks,simple_blobs,s42_std0.6,10000,mutual_step,none,100,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,71.81496138380035,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.14590191599563695,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_step,none,1000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,71.74634582242932,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.15049366597668268,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_step,none,10000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.55645,71.70645305419033,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.14611558301839978,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_iter,none,1,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.947209132569976,11.262526329227038,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.14366920900647528,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_iter,none,10,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.947209132569976,11.316780494032042,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.14484870800515637,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_iter,none,100,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.947209132569976,11.171570817642177,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.1476254579902161,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_iter,none,1000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.947209132569976,11.216250718069828,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.14438245800556615,0.0
graph_forks,simple_blobs,s42_std0.6,10000,mutual_iter,none,10000,15,euclidean,true,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.947209132569976,11.149230867428352,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.14374154197867028,0.0
